ID,Model,HW code,Vcode,IMSI,IMEI,Version
1,MIRA V2-F4,8817196178746 1389,2034387826,,,
2,MIRA V2-F4,8817196178746 1341,2034387778,,,
3,MIRA V2-F4,8817196178746 0868,2034387305,,,
4,MIRA V2-F4,8817196178727 8434,2034204871,,,
5,MIRA V2-F4,8817196178756 1048,2034487485,,,
6,MIRA V2-F4,8817196178746 1309,2034387746,,,
7,MIRA V2-F4,8817196178746 0894,2034387331,,,
8,MIRA V2-F4,8817196178714 7226,2034073663,,,
9,MIRA V2-F4,8817196178714 7210,2034073647,,,
10,MIRA V2-F4,8817196178714 7232,2034073669,,,
11,MIRA V2-F4,8817196178714 7164,2034073601,,,
12,MIRA V2-F4,8817196178714 7156,2034073593,,,
13,MIRA V2-F4,8817196178727 8317,2034204754,,,
14,MIRA V2-F4,8817196178756 1083,2034487520,,,
15,MIRA V2-F4,8817196178714 7275,2034073712,,,
16,MIRA V2-F4,8817196178756 1131,2034487568,,,
17,MIRA V2-F4,8817196178756 1004,2034487441,,,
18,MIRA V2-F4,8817196178746 1315,2034387752,,,
19,MIRA V2-F4,8817196178683 7836,2033764273,,,
20,MIRA V2-F4,8817196178756 1073,2034487510,,,
21,MIRA V2-F4,8817196178727 8414,2034204851,,,
22,MIRA V2-F4,8817196178727 8335,2034204772,,,
23,MIRA V2-F4,8817196178714 7157,2034073594,,,
24,MIRA V2-F4,8817196178714 7223,2034073660,,,
25,MIRA V2-F4,8817196178756 1128,2034487565,,,
26,MIRA V2-F4,8817196178714 7218,2034073655,,,
27,MIRA V2-F4,8817196178727 8403,2034204840,,,
28,MIRA V2-F4,8817196178727 8432,2034204869,,,
29,MIRA V2-F4,8817196178714 7200,2034073637,,,
30,MIRA V2-F4,8817196178727 8487,2034204924,,,
31,MIRA V2-F4,8817196178714 7179,2034073616,,,
32,MIRA V2-F4,8817196178714 7228,2034073665,,,
33,MIRA V2-F4,8817196178714 7189,2034073626,,,
34,MIRA V2-F4,8817196178714 7220,2034073657,,,
35,MIRA V2-F4,8817196178714 7215,2034073652,,,
36,MIRA V2-F4,8817196178683 7854,2033764291,,,
